Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Posterior auditory area/ layer 1,AUDpo1,696,left,all,190,177.517,669.621,190,177.517,669.621
Posterior auditory area/ layer 1,AUDpo1,696,right,all,1238,156.322,620.431,1238,156.322,620.431
Posterior auditory area/ layer 2/3,AUDpo2/3,643,left,all,598,206.754,831.716,598,206.754,831.716
Posterior auditory area/ layer 2/3,AUDpo2/3,643,right,all,1769,166.642,675.03,1769,166.642,675.03
Posterior auditory area/ layer 4,AUDpo4,759,left,all,661,203.874,857.319,661,203.874,857.319
Posterior auditory area/ layer 4,AUDpo4,759,right,all,720,260.084,795.408,720,260.084,795.408
Posterior auditory area/ layer 5,AUDpo5,791,left,all,2238,236.875,903.824,2238,236.875,903.824
Posterior auditory area/ layer 5,AUDpo5,791,right,all,1710,240.317,760.454,1710,240.317,760.454
Posterior auditory area/ layer 6a,AUDpo6a,249,left,all,955,298.008,1012.39,955,298.008,1012.39
Posterior auditory area/ layer 6a,AUDpo6a,249,right,all,1015,208.2,719.703,1015,208.2,719.703
Posterior auditory area/ layer 6b,AUDpo6b,456,left,all,225,300.248,1063.26,225,300.248,1063.26
Posterior auditory area/ layer 6b,AUDpo6b,456,right,all,31,139.669,571.29,31,139.669,571.29
Ventral auditory area,AUDv,1018,left,all,24497,257.089,993.688,24497,257.089,993.688
Ventral auditory area,AUDv,1018,right,all,22832,212.554,757.01,22832,212.554,757.01
Ventral auditory area/ layer 1,AUDv1,959,left,all,3860,189.563,823.525,3860,189.563,823.525
Ventral auditory area/ layer 1,AUDv1,959,right,all,4232,153.62,639.384,4232,153.62,639.384
Ventral auditory area/ layer 2/3,AUDv2/3,755,left,all,6117,218.289,961.29,6117,218.289,961.29
Ventral auditory area/ layer 2/3,AUDv2/3,755,right,all,5842,181.462,732.601,5842,181.462,732.601
Ventral auditory area/ layer 4,AUDv4,990,left,all,2994,273.179,1065.13,2994,273.179,1065.13
