Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Gustatory areas/ layer 1,GU1,36,left,all,614,7326.19,622.137,614,7326.19,622.137
Gustatory areas/ layer 1,GU1,36,right,all,254,5808.92,520.72,254,5808.92,520.72
Gustatory areas/ layer 2/3,GU2/3,180,left,all,1556,5028.43,562.936,1556,5028.43,562.936
Gustatory areas/ layer 2/3,GU2/3,180,right,all,1387,5229.85,500.382,1387,5229.85,500.382
Gustatory areas/ layer 4,GU4,148,left,all,638,5460.64,583.346,638,5460.64,583.346
Gustatory areas/ layer 4,GU4,148,right,all,579,6089.06,527.169,579,6089.06,527.169
Gustatory areas/ layer 5,GU5,187,left,all,3433,6164.3,638.749,3433,6164.3,638.749
Gustatory areas/ layer 5,GU5,187,right,all,2432,6029.66,537.873,2432,6029.66,537.873
Gustatory areas/ layer 6a,GU6a,638,left,all,2228,5646.38,661.983,2228,5646.38,661.983
Gustatory areas/ layer 6a,GU6a,638,right,all,1262,5420.58,535.791,1262,5420.58,535.791
Gustatory areas/ layer 6b,GU6b,662,left,all,180,4841.43,713.4,180,4841.43,713.4
Gustatory areas/ layer 6b,GU6b,662,right,all,42,6419.23,615.214,42,6419.23,615.214
Visceral area,VISC,677,left,all,15060,7360.01,597.499,15060,7360.01,597.499
Visceral area,VISC,677,right,all,9362,6520.06,551.561,9362,6520.06,551.561
Visceral area/ layer 1,VISC1,897,left,all,701,6887.83,592.732,701,6887.83,592.732
Visceral area/ layer 1,VISC1,897,right,all,602,6628.29,542.04,602,6628.29,542.04
Visceral area/ layer 2/3,VISC2/3,1106,left,all,2784,5927.74,523.72,2784,5927.74,523.72
Visceral area/ layer 2/3,VISC2/3,1106,right,all,2194,5941.62,525.188,2194,5941.62,525.188
Visceral area/ layer 4,VISC4,1010,left,all,1168,6399.04,552.434,1168,6399.04,552.434
Visceral area/ layer 4,VISC4,1010,right,all,878,7771.14,577.031,878,7771.14,577.031
Visceral area/ layer 5,VISC5,1058,left,all,6022,8547.44,629.998,6022,8547.44,629.998
Visceral area/ layer 5,VISC5,1058,right,all,3334,6673.25,555.56,3334,6673.25,555.56
Visceral area/ layer 6a,VISC6a,857,left,all,4099,6892.55,610.041,4099,6892.55,610.041
Visceral area/ layer 6a,VISC6a,857,right,all,2235,6385.8,561.08,2235,6385.8,561.08
Visceral area/ layer 6b,VISC6b,849,left,all,286,8081.34,647.374,286,8081.34,647.374
Visceral area/ layer 6b,VISC6b,849,right,all,119,5636.14,607.21,119,5636.14,607.21
Auditory areas,AUD,247,left,all,38223,6163.92,612.329,38223,6163.92,612.329
Auditory areas,AUD,247,right,all,28607,6243.71,556.217,28607,6243.71,556.217
Dorsal auditory area,AUDd,1011,left,all,9149,6743.43,648.234,9149,6743.43,648.234
Dorsal auditory area,AUDd,1011,right,all,6068,6732.79,586.126,6068,6732.79,586.126
Dorsal auditory area/ layer 1,AUDd1,527,left,all,518,5573.78,536.909,518,5573.78,536.909
Dorsal auditory area/ layer 1,AUDd1,527,right,all,540,5321.63,510.352,540,5321.63,510.352
Dorsal auditory area/ layer 2/3,AUDd2/3,600,left,all,2689,5893.96,617.566,2689,5893.96,617.566
Dorsal auditory area/ layer 2/3,AUDd2/3,600,right,all,1726,6131.84,565.168,1726,6131.84,565.168
Dorsal auditory area/ layer 4,AUDd4,678,left,all,1592,8190.06,682.962,1592,8190.06,682.962
Dorsal auditory area/ layer 4,AUDd4,678,right,all,925,7977.69,612.99,925,7977.69,612.99
Dorsal auditory area/ layer 5,AUDd5,252,left,all,3696,6949.52,667.395,3696,6949.52,667.395
Dorsal auditory area/ layer 5,AUDd5,252,right,all,2427,7002.67,603.82,2427,7002.67,603.82
Dorsal auditory area/ layer 6a,AUDd6a,156,left,all,551,6589.91,669.031,551,6589.91,669.031
Dorsal auditory area/ layer 6a,AUDd6a,156,right,all,423,6790.7,608.936,423,6790.7,608.936
Dorsal auditory area/ layer 6b,AUDd6b,243,left,all,103,5868.9,673.165,103,5868.9,673.165
Dorsal auditory area/ layer 6b,AUDd6b,243,right,all,27,5556.07,573.222,27,5556.07,573.222
Primary auditory area,AUDp,1002,left,all,14922,6231.26,622.032,14922,6231.26,622.032
Primary auditory area,AUDp,1002,right,all,11221,6374.9,566.752,11221,6374.9,566.752
Primary auditory area/ layer 1,AUDp1,735,left,all,627,5024.56,519.057,627,5024.56,519.057
Primary auditory area/ layer 1,AUDp1,735,right,all,1143,5017.38,506.538,1143,5017.38,506.538
Primary auditory area/ layer 2/3,AUDp2/3,251,left,all,3027,5667.75,604.063,3027,5667.75,604.063
Primary auditory area/ layer 2/3,AUDp2/3,251,right,all,2919,5777.52,561.319,2919,5777.52,561.319
