Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Ventral auditory area/ layer 2/3,AUDv2/3,755,right,all,4013,146.004,644.393,4013,146.004,644.393
Ventral auditory area/ layer 4,AUDv4,990,left,all,3840,216.679,920.254,3840,216.679,920.254
Ventral auditory area/ layer 4,AUDv4,990,right,all,2319,184.393,722.354,2319,184.393,722.354
Ventral auditory area/ layer 5,AUDv5,1023,left,all,11288,230.182,847.523,11288,230.182,847.523
Ventral auditory area/ layer 5,AUDv5,1023,right,all,6294,187.378,694.626,6294,187.378,694.626
Ventral auditory area/ layer 6a,AUDv6a,520,left,all,4843,168.004,761.903,4843,168.004,761.903
Ventral auditory area/ layer 6a,AUDv6a,520,right,all,3368,158.009,656.166,3368,158.009,656.166
Ventral auditory area/ layer 6b,AUDv6b,598,left,all,603,134.057,728.675,603,134.057,728.675
Ventral auditory area/ layer 6b,AUDv6b,598,right,all,748,111.676,575.69,748,111.676,575.69
Visual areas,VIS,669,left,all,149181,192.035,818.215,149181,192.035,818.215
Visual areas,VIS,669,right,all,104388,166.031,690.786,104388,166.031,690.786
Anterolateral visual area,VISal,402,left,all,10015,190.962,819.041,10015,190.962,819.041
Anterolateral visual area,VISal,402,right,all,7212,194.263,740.672,7212,194.263,740.672
Anterolateral visual area/ layer 1,VISal1,1074,left,all,1329,196.136,760.276,1329,196.136,760.276
Anterolateral visual area/ layer 1,VISal1,1074,right,all,511,156.138,626.262,511,156.138,626.262
Anterolateral visual area/ layer 2/3,VISal2/3,905,left,all,2544,151.142,788.244,2544,151.142,788.244
Anterolateral visual area/ layer 2/3,VISal2/3,905,right,all,2027,158.542,710.768,2027,158.542,710.768
Anterolateral visual area/ layer 4,VISal4,1114,left,all,1498,214.937,904.475,1498,214.937,904.475
Anterolateral visual area/ layer 4,VISal4,1114,right,all,1128,231.415,840.182,1128,231.415,840.182
Anterolateral visual area/ layer 5,VISal5,233,left,all,3219,220.914,849.847,3219,220.914,849.847
