Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Dorsal auditory area/ layer 2/3,AUDd2/3,600,right,all,926,144.211,491.94,926,144.211,491.94
Dorsal auditory area/ layer 4,AUDd4,678,left,all,1764,138.389,626.349,1764,138.389,626.349
Dorsal auditory area/ layer 4,AUDd4,678,right,all,793,103.736,511.953,793,103.736,511.953
Dorsal auditory area/ layer 5,AUDd5,252,left,all,3211,120.274,616.735,3211,120.274,616.735
Dorsal auditory area/ layer 5,AUDd5,252,right,all,2337,127.07,510.61,2337,127.07,510.61
Dorsal auditory area/ layer 6a,AUDd6a,156,left,all,1488,176.528,535.267,1488,176.528,535.267
Dorsal auditory area/ layer 6a,AUDd6a,156,right,all,1489,172.118,460.809,1489,172.118,460.809
Dorsal auditory area/ layer 6b,AUDd6b,243,left,all,169,138.071,539.278,169,138.071,539.278
Dorsal auditory area/ layer 6b,AUDd6b,243,right,all,225,167.819,443.876,225,167.819,443.876
Primary auditory area,AUDp,1002,left,all,22347,150.937,535.582,22347,150.937,535.582
Primary auditory area,AUDp,1002,right,all,9906,134.282,461.686,9906,134.282,461.686
Primary auditory area/ layer 1,AUDp1,735,left,all,4744,171.838,442.76,4744,171.838,442.76
Primary auditory area/ layer 1,AUDp1,735,right,all,0,0,0,0,0,0
Primary auditory area/ layer 2/3,AUDp2/3,251,left,all,5282,164.995,549.43,5282,164.995,549.43
Primary auditory area/ layer 2/3,AUDp2/3,251,right,all,645,157.829,493.144,645,157.829,493.144
Primary auditory area/ layer 4,AUDp4,816,left,all,3080,140.652,603.789,3080,140.652,603.789
Primary auditory area/ layer 4,AUDp4,816,right,all,983,127.318,510.001,983,127.318,510.001
Primary auditory area/ layer 5,AUDp5,847,left,all,6324,127.902,570.134,6324,127.902,570.134
Primary auditory area/ layer 5,AUDp5,847,right,all,4985,119.204,472.07,4985,119.204,472.07
Primary auditory area/ layer 6a,AUDp6a,954,left,all,2770,153.656,514.908,2770,153.656,514.908
