Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Gustatory areas/ layer 1,GU1,36,left,all,2419,740.772,1697.72,2419,740.772,1697.72
Gustatory areas/ layer 1,GU1,36,right,all,1976,569.979,1267.51,1976,569.979,1267.51
Gustatory areas/ layer 2/3,GU2/3,180,left,all,1549,175.095,739.982,1549,175.095,739.982
Gustatory areas/ layer 2/3,GU2/3,180,right,all,1068,173.67,594.699,1068,173.67,594.699
Gustatory areas/ layer 4,GU4,148,left,all,692,195.973,688.925,692,195.973,688.925
Gustatory areas/ layer 4,GU4,148,right,all,562,182.133,604.34,562,182.133,604.34
Gustatory areas/ layer 5,GU5,187,left,all,3445,204.309,696.166,3445,204.309,696.166
Gustatory areas/ layer 5,GU5,187,right,all,2732,190.895,591.087,2732,190.895,591.087
Gustatory areas/ layer 6a,GU6a,638,left,all,2845,181.404,657.181,2845,181.404,657.181
Gustatory areas/ layer 6a,GU6a,638,right,all,2501,174.122,561.927,2501,174.122,561.927
Gustatory areas/ layer 6b,GU6b,662,left,all,154,169.803,649.825,154,169.803,649.825
Gustatory areas/ layer 6b,GU6b,662,right,all,97,170.331,560.041,97,170.331,560.041
Visceral area,VISC,677,left,all,12570,333.519,985.635,12570,333.519,985.635
Visceral area,VISC,677,right,all,9722,240.141,655.71,9722,240.141,655.71
Visceral area/ layer 1,VISC1,897,left,all,3042,775.491,1878.31,3042,775.491,1878.31
Visceral area/ layer 1,VISC1,897,right,all,1931,432.897,1102.68,1931,432.897,1102.68
Visceral area/ layer 2/3,VISC2/3,1106,left,all,1752,168.541,716.481,1752,168.541,716.481
Visceral area/ layer 2/3,VISC2/3,1106,right,all,1133,162.613,526.258,1133,162.613,526.258
Visceral area/ layer 4,VISC4,1010,left,all,770,178.499,698.614,770,178.499,698.614
Visceral area/ layer 4,VISC4,1010,right,all,724,190.057,556.89,724,190.057,556.89
Visceral area/ layer 5,VISC5,1058,left,all,4066,213.767,719.914,4066,213.767,719.914
Visceral area/ layer 5,VISC5,1058,right,all,3144,206.843,548.817,3144,206.843,548.817
Visceral area/ layer 6a,VISC6a,857,left,all,2599,177.681,663.002,2599,177.681,663.002
Visceral area/ layer 6a,VISC6a,857,right,all,2511,187.999,541.147,2511,187.999,541.147
Visceral area/ layer 6b,VISC6b,849,left,all,341,204.085,680.633,341,204.085,680.633
Visceral area/ layer 6b,VISC6b,849,right,all,279,195.368,579.918,279,195.368,579.918
Auditory areas,AUD,247,left,all,31540,346.986,978.142,31540,346.986,978.142
Auditory areas,AUD,247,right,all,22510,333.012,884.621,22510,333.012,884.621
Dorsal auditory area,AUDd,1011,left,all,7086,300.735,962.853,7086,300.735,962.853
Dorsal auditory area,AUDd,1011,right,all,5503,367.211,995.878,5503,367.211,995.878
Dorsal auditory area/ layer 1,AUDd1,527,left,all,1668,643.933,1711.3,1668,643.933,1711.3
Dorsal auditory area/ layer 1,AUDd1,527,right,all,1877,715.921,1671.27,1877,715.921,1671.27
Dorsal auditory area/ layer 2/3,AUDd2/3,600,left,all,1196,180.426,756.366,1196,180.426,756.366
Dorsal auditory area/ layer 2/3,AUDd2/3,600,right,all,719,179.426,638.364,719,179.426,638.364
Dorsal auditory area/ layer 4,AUDd4,678,left,all,980,202.494,754.079,980,202.494,754.079
Dorsal auditory area/ layer 4,AUDd4,678,right,all,447,183.25,665.134,447,183.25,665.134
Dorsal auditory area/ layer 5,AUDd5,252,left,all,2171,214.065,741.335,2171,214.065,741.335
Dorsal auditory area/ layer 5,AUDd5,252,right,all,1604,202.621,660.612,1604,202.621,660.612
Dorsal auditory area/ layer 6a,AUDd6a,156,left,all,900,166.901,675.157,900,166.901,675.157
Dorsal auditory area/ layer 6a,AUDd6a,156,right,all,749,166.191,620.326,749,166.191,620.326
Dorsal auditory area/ layer 6b,AUDd6b,243,left,all,171,162.269,629.45,171,162.269,629.45
Dorsal auditory area/ layer 6b,AUDd6b,243,right,all,107,154.942,586.85,107,154.942,586.85
Primary auditory area,AUDp,1002,left,all,11724,345.092,975.361,11724,345.092,975.361
Primary auditory area,AUDp,1002,right,all,9089,347.283,911.153,9089,347.283,911.153
